Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
2290,8472.6,243.517,0.598,85.999,201.673,359.676,512.337,608.338,803.522,1385.788,0.004,,8472.6,7501.4
2295,7040,442.503,0.583,77.281,203.27,385.131,619.441,3581.063,4090.955,5132.22,0.002,,7040,8437
2300,3456.6,280.45,0.969,101.062,224.012,419.516,599.523,710.05,929.664,1619.184,0.004,,3456.6,7791.4
2305,7784,265.808,0.869,87.81,214.046,397.466,570.93,677.516,902.036,1633.645,0.004,,7784,7357.2
2310,6730.4,304.579,1.111,98.957,244.326,454.095,648.408,779.587,1044.132,1848.995,0.003,,6730.4,6642
2315,3184,791.978,0.61,104.857,263.779,534.859,4064.761,4333.972,4719.306,5637.906,0.001,,3184,6685.4
2320,4595.8,343.578,1.112,120.91,281.942,521.356,722.78,848.48,1106.422,1714.776,0.003,,4595.8,6239.8
2325,4587,857.101,0.847,115.172,293.14,578.206,1087.799,6202.872,6573.124,7296.153,0.001,,4587,5757.8
2330,403.4,368.783,6.231,222.722,328.231,488.145,641.162,741.929,974.32,1630.037,0.003,,403.4,5550
2335,8490.8,238.484,1.086,84.756,193.719,352.363,505.11,602.479,802.01,1407.527,0.004,,8490.8,5406.2
2340,8079,255.053,0.793,89.594,207.982,380.727,540.793,640.707,846.201,1428.415,0.004,,8079,5318.6
2345,7935,260.423,0.79,88.635,210.252,384.559,561.646,665.137,874.721,2016.132,0.004,,7935,7569.6
2350,6079.6,334.722,0.831,101.648,253.437,472.375,749.747,972.983,1376.865,2176.848,0.003,,6079.6,7374
2355,6897.8,298.171,0.916,101.493,241.618,449.038,632.821,744.764,989.245,1675.959,0.003,,6897.8,6981.6
2360,6258.6,326.85,1.124,119.315,263.253,485.09,695.328,814.905,1054.133,1908.169,0.003,,6258.6,563.6
2365,6050.2,341.741,0.865,110.546,267.92,513.778,735.892,879.992,1187,2009.724,0.003,,6050.2,3207
2370,4149.6,691.437,0.562,128.088,310.459,627.723,1462.348,3867.622,4254.503,5194.87,0.001,,4149.6,1578.8
2375,3408.4,344.604,1.935,116.38,273.222,516.104,738.091,876.294,1164.087,2054.448,0.003,,3408.4,1931.8
2380,7813.6,264.436,0.761,89.178,213.536,393.026,575.803,681.941,899.77,1803.982,0.004,,7813.6,8959
2385,7700.4,264.974,0.981,85.602,205.604,390.956,579.15,699.247,972.833,1828.189,0.004,,7700.4,8376.8
2390,7143.2,295.96,0.882,102.568,235.467,439.236,627.348,754.542,1017.804,1669.266,0.003,,7143.2,7651
2395,6793.8,294.374,0.859,89.43,232.177,444.765,642.359,769.337,1031.763,1742.499,0.003,,6793.8,7715.8
2400,6427,319.103,0.785,107.595,257.221,480.577,676.792,808.894,1070.055,2045.62,0.003,,6427,6244.6
2405,5922.2,347.923,0.897,120.192,281.879,524.947,729.588,871.326,1160.303,1979.208,0.003,,5922.2,6721.2
2410,4598.4,1029.953,0.835,116.861,304.572,591.845,1096.004,8110.897,8502.157,9293.904,0.001,,4598.4,6107.2
2415,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5917.4
2420,5362,259.35,1.072,103.076,213.481,375.647,542.624,656.129,828.427,1404.426,0.004,,5362,5546.4
2425,8295.8,245.766,0.929,83.787,199.601,365.928,524.696,622.931,826.255,1415.037,0.004,,8295.8,5284.6
2430,7826.6,261.663,0.865,83.783,202.377,396.17,570.09,682.738,910.14,1673.377,0.004,,7826.6,4705.2
2435,7375.4,276.983,0.946,84.872,214.208,417.523,609.588,734.42,999.951,1889.581,0.004,,7375.4,0
2440,6707.8,306.712,0.956,117.973,250.746,453.024,638.238,754.152,991.541,1726.972,0.003,,6707.8,5634
2445,6504.8,315.781,0.572,104.545,251.639,474.851,671.67,803.6,1067.048,1671.531,0.003,,6504.8,7719
2450,6192,332.032,0.871,118.92,266.915,497.787,699.013,824.206,1091.095,2105.837,0.003,,6192,7277
2455,5686.2,368.62,1.015,117.53,284.346,546.158,781.161,924.651,1234.376,11142.151,0.003,,5686.2,3592.6
2460,999,4104.996,1.948,139.432,423.17,9717.381,9963.341,10068.979,10299.496,10774.52,0,,999,2143.2
2465,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,2885.8
2470,7964,246.615,0.8,90.377,205.897,360.131,516.832,622.29,801.926,1473.88,0.004,,7964,0
2475,8128.2,252.2,0.9,75.019,199.304,380.507,554.865,664.266,884.38,1548.83,0.004,,8128.2,8248.2
2480,7851.8,259.833,0.933,85.775,207.98,389.59,558.034,666.873,885.534,1616.561,0.004,,7851.8,8292
2485,6988.2,297.509,0.653,107.464,240.123,441.48,635.964,737.938,975.589,1659.568,0.003,,6988.2,7858.6
2490,6732.6,303.28,0.982,104.885,240.604,447.467,649.84,778.172,1045.585,1854.363,0.003,,6732.6,7189.2
2495,6306,322.257,1.416,99.073,253.213,491.419,699.755,824.449,1105.85,1978.168,0.003,,6306,6685.4
2500,6114.6,342.782,0.692,118.529,271.228,519.177,732.451,855.871,1121.153,1869.63,0.003,,6114.6,6541.8
2505,5120.4,398.648,0.797,116.202,313.054,597.692,870.025,1041.175,1431.877,2629.84,0.003,,5120.4,6231.6
2510,5490.8,377.948,1.034,115.942,293.69,584.554,824.414,971.45,1278.158,2492.473,0.003,,5490.8,3444.2
2515,5174.2,393.725,1.444,131.325,303.762,587.787,832.19,1010.835,1404.873,2445.152,0.003,,5174.2,0
2520,3584,598.144,2.127,117.75,290.646,613.462,2489.536,2734.828,3033.888,3800.178,0.002,,3584,3370.2
2525,6661.8,287.524,0.979,100.913,237.856,425.964,604.571,721.556,944.857,1754.531,0.003,,6661.8,8760
2530,6658.4,302.553,0.939,113.021,250.704,446.971,632.829,759.737,997.948,1629.109,0.003,,6658.4,8062.6
2535,6844.4,700.346,0.951,109.204,247.782,472.067,720.138,7656.019,8225.811,9283.232,0.001,,6844.4,7645.8
2540,42,7872.378,29.028,7624.009,7773.159,8158.984,8334.867,8488.312,8792.793,8919.426,0,,42,6962.6
2545,2939.4,363.259,0.929,121.04,291.786,545.222,769.568,914.672,1201.839,1897.4,0.003,,2939.4,1956.4
2550,2310.6,2203.203,1.569,132.917,309.899,647.529,11001.788,11160.856,11487.251,12126.313,0,,2310.6,6375.8
2555,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,6422.8
2560,4074.6,240.224,1.469,79.86,196.072,357.357,513.408,612.076,815.913,1447.767,0.004,,4074.6,146.2
2565,8384.4,245.415,0.926,84.873,194.76,363.912,525.843,627.255,848.369,1545.714,0.004,,8384.4,4383.2
2570,8297.6,251.107,0.691,81.038,205.184,375.964,537.042,645.466,843.846,1599.74,0.004,,8297.6,7850.8
2575,7568.4,267.217,0.727,84.813,207.61,397.127,588.205,708.588,960.056,1733.693,0.004,,7568.4,7432.6
2580,7122.6,287.418,0.605,104.056,235.119,429.442,597.085,700.674,932.813,1687.039,0.003,,7122.6,5312.6
2585,3409.6,1044.17,1.258,119.641,286.621,586.203,6224.405,6500.044,6723.402,7756.867,0.001,,3409.6,6736.2
2590,1552,366.978,1.895,120.334,310.828,540.021,780.949,928.209,1213.69,2002.775,0.003,,1552,6368.2
2595,3531.6,1094.572,0.762,111.643,285.908,590.8,6860.55,7080.506,7513.451,8188.884,0.001,,3531.6,2645.2
2600,536,366.418,3.514,195.129,339.76,492.639,671.643,784.334,1047.227,1409.24,0.003,,536,4571.8
2605,8284.6,245.705,1.065,87.791,205.568,363.292,514.382,610.755,798.78,1294.066,0.004,,8284.6,8358.2
2610,8244.4,249.932,0.815,80.055,200.005,372.38,543.31,647.77,857.667,2009.681,0.004,,8244.4,7729.6
2615,7654.4,267.669,0.842,84.789,212.507,403.005,580.539,690.887,921.715,1479.383,0.004,,7654.4,7293.8
2620,7179.2,286.618,0.853,99.488,236.147,425.631,605.92,720.648,941.265,1515.713,0.003,,7179.2,7032.6
2625,6518,313.376,0.868,114.908,255.461,460.397,657.304,778.317,1019.557,1833.776,0.003,,6518,6667.6
2630,6687.6,313.971,1.043,104.005,250.249,469.042,671.572,797.858,1068.692,1738.712,0.003,,6687.6,6414.6
2635,5837.4,346.321,0.77,118.808,278.489,527.325,726.263,860.267,1137.864,1876.735,0.003,,5837.4,5690.6
2640,2559,1187.778,0.744,130.936,321.516,666.679,5661.482,5880.801,6212.219,6740.478,0.001,,2559,5905
2645,3665,273.177,2.198,107.01,234.559,399.594,560.398,658.09,854.776,1343.51,0.004,,3665,5565.8
2650,7917.2,259.894,1.146,96.675,208.715,380.661,551.057,656.511,877.267,1657.839,0.004,,7917.2,6983.8
2655,7946.2,260.929,1.03,85.954,213.256,391.548,556.149,656.788,877.475,1516.786,0.004,,7946.2,7297.8
2660,7527.2,273.532,1.014,89.505,218.577,410.338,587.182,699.802,926.597,1672.987,0.004,,7527.2,4586.2
2665,6861.4,298.466,0.621,93.844,237.842,449.474,645.122,766.11,1007.145,6445.059,0.003,,6861.4,4578.8
2670,1815.4,1332.185,1.036,107.106,286.681,707.027,5040.928,5281.297,5577.466,6674.258,0.001,,1815.4,0
2675,4720,538.68,1.22,114.468,274.253,541.554,814.596,1027.755,8089.607,9185.576,0.002,,4720,4864.6
2680,442.6,5193.917,2.488,146.1,7694.316,7831.106,7971.38,8116.56,8340.591,8860.116,0,,442.6,0
2685,3389,252.591,0.882,88.804,208.986,372.406,534.367,636.422,856.432,1470.464,0.004,,3389,6059
2690,8093.2,256.868,0.987,93.077,213.661,380.234,534.6,637.668,849.594,1405.126,0.004,,8093.2,8288
2695,7687.8,265.88,0.99,85.326,211.829,396.64,574.558,691.391,934.862,1581.859,0.004,,7687.8,8003.2
2700,7677.6,271.714,1.3,92.732,217.766,403.757,578.742,695.583,929.445,1588.026,0.004,,7677.6,7169.6
2705,6670,301.83,1.049,106.812,242.925,450.84,641.472,759.568,997.605,1849.659,0.003,,6670,6971
2710,6766.4,303.581,1.155,111.572,247.857,448.238,636.592,754.59,996.549,1935.46,0.003,,6766.4,6438.8
2715,6029.8,338.661,1.185,113.27,270.053,515.705,719.829,846.3,1114.584,1918.458,0.003,,6029.8,6310
2720,6012.2,341.5,1.292,114.715,269.899,508.593,726.609,875.688,1167.189,1979.852,0.003,,6012.2,5823.6
2725,5282.2,394.047,1.509,137.176,312.429,596.038,831.551,976.54,1318.201,2425.026,0.003,,5282.2,5721
2730,2456.6,1373.752,0.782,123.768,314.325,709.88,6583.884,6766.318,7226.214,8060.698,0.001,,2456.6,5433
2735,2528.4,264.342,2.438,94.994,223.229,397.554,546.111,642.872,836.268,1196.324,0.004,,2528.4,6936.6
2740,7839.4,260.738,0.79,98.812,216.019,382.498,542.043,647.626,859.934,1572.668,0.004,,7839.4,7207.2
2745,7235.6,283.166,0.567,87.992,216.926,417.273,633.021,766.126,1004.366,1794.689,0.004,,7235.6,7041
2750,7363.8,279.198,0.617,99.12,233.153,405.346,587.241,702.407,949.188,1800.057,0.004,,7363.8,2745.2
2755,6893.6,297.434,0.806,107.166,241.292,443.96,620.394,734.817,975.758,1951.667,0.003,,6893.6,4256.4
2760,3980.8,513.052,0.612,111.206,288.528,587.479,1839.2,2199.668,2627.268,3431.298,0.002,,3980.8,6496.8
2765,6078.4,337.381,1.036,111.906,266.841,505.449,729.384,863.016,1135.982,2123.316,0.003,,6078.4,5947.8
2770,2771.2,1316.516,0.878,102.489,288.918,659.433,7023.469,7226.185,7589.252,8852.415,0.001,,2771.2,3496.8
2775,1450,321.362,2.986,150.745,286.779,461.125,630.665,726.854,952.396,1414.503,0.003,,1450,249.6
2780,4913,409.952,1.017,110.518,244.536,435.136,768.091,1961.69,2344.291,2947.589,0.002,,4913,8223.4
2785,7828,261.592,1.325,97.719,214.663,390.067,544.579,650.21,851.4,1543.306,0.004,,7828,8207.2
2790,7150.6,288.24,1.16,98.311,232.032,430.204,609.303,722.636,962.177,2065.529,0.003,,7150.6,7443.2
2795,6809.6,303.024,1.028,103.578,243.515,449.707,646.48,769.257,1028.406,2155.206,0.003,,6809.6,6858.8
2800,6482.6,398.521,0.924,102.189,251.216,483.356,732.154,1022.09,2903.911,3657.029,0.003,,6482.6,6576.8
2805,3157.4,468.558,0.655,137.517,317.911,601.191,866.432,1318.635,2751.4,12266.616,0.002,,3157.4,2726.2
2810,1817.8,2702.162,1.899,123.791,331.155,817.389,11051.942,11209.021,11464.357,12029.887,0,,1817.8,4974
2815,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,3516.6
2820,4490.2,270.291,0.927,106.543,223.477,395.517,555.029,652.209,862.763,1597.039,0.004,,4490.2,0
2825,8915.8,236.534,0.695,75.468,193.09,347.051,506.416,611.5,826.281,1435.327,0.004,,8915.8,8038
2830,7874.6,253.49,0.601,79.685,206.009,382.53,548.303,648.077,852.075,1340.077,0.004,,7874.6,8255.6
2835,7530.4,272.829,1.01,97.429,222.033,404.175,573.847,686.478,896.192,1587.894,0.004,,7530.4,7578.4
2840,7339.4,283.427,1.074,85.631,223.82,424.311,618.5,735.194,982.171,1827.413,0.004,,7339.4,7314.4
2845,6415.6,314.491,1.066,106.532,250.904,472.833,668.599,793.286,1041.563,1869.172,0.003,,6415.6,6680
2850,6366,320.301,1.156,114.579,259.376,483.344,669.074,784.511,1029.694,1706.364,0.003,,6366,6732.2
2855,5924,348.909,0.632,125.138,281.369,524.223,727.896,860.924,1133.827,1929.569,0.003,,5924,5064.4
2860,5959,347.415,0.988,111.128,281.123,526.854,739.281,867.985,1137.489,1935.478,0.003,,5959,1089.8
2865,5343.4,384.846,1.442,135.734,305.644,575.806,803.886,963.273,1289.988,2256.705,0.003,,5343.4,8301.6
2870,5330,375.878,0.938,110.202,295.899,575.167,824.519,977.781,1294.197,2366.881,0.003,,5330,8251.4
2875,5195.2,405.851,0.993,133.954,315.067,611.578,891.937,1050.702,1367.88,1979.649,0.002,,5195.2,7529.2
2880,4789.4,470.532,1.171,135.375,326.271,646.939,940.976,1169.806,3191.65,4205.062,0.002,,4789.4,7066.8
2885,3466,844.463,2.131,104.502,261.44,772.356,3132.838,3260.624,3689.287,4999.048,0.001,,3466,6413
2890,3117.6,289.333,1.135,98.995,229.597,431.921,623.216,745.575,990.75,1537.677,0.003,,3117.6,5558.8
2895,7098.4,289.574,1.276,92.964,226.109,436.083,628.039,747.266,983.212,1624.633,0.003,,7098.4,3875
2900,5616.2,400.353,0.893,98.508,247.347,473.165,762.872,1833.189,2316.353,3109.809,0.002,,5616.2,1646.6
2905,4665.6,921.877,0.896,132.533,303.873,563.818,1002.005,7097.469,7414.522,8378.107,0.001,,4665.6,0
2910,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,7966
2915,4574.2,708.3,2.363,134.591,291.268,548.544,829.717,1336.238,8227.818,9092.201,0.001,,4574.2,7933.6
2920,272.6,5474.38,3.611,120.531,7616.289,7713.494,7847.758,7941.976,8049.163,8497.577,0,,272.6,7602.6
2925,3655,264.08,1.727,100.284,225.309,388.707,541.744,654.952,866.32,1272.56,0.004,,3655,7381.6
2930,8242.4,247.364,1.195,91.801,205.903,359.801,518.592,622.296,821.195,1542.134,0.004,,8242.4,6432.2
2935,7908.2,263.875,0.979,83.432,208.861,396.137,573.117,685.989,902.99,1614.533,0.004,,7908.2,6498.6
2940,7316.2,279.31,0.8,101.772,225.841,413.569,585.397,697.945,922.566,1840.145,0.004,,7316.2,6053
2945,6762.8,301.474,0.645,109.108,247.071,447.193,631.835,742.186,981.023,1754.305,0.003,,6762.8,5655.4
2950,6529.8,316.521,0.915,102.688,253.969,478.467,675.512,801.843,1075.668,2072.306,0.003,,6529.8,918.4
2955,6142.6,334.804,1.425,105.086,263.353,511.886,721.857,849.952,1115.384,1963.06,0.003,,6142.6,0
2960,5996.8,338.615,0.958,118.056,270.96,506.353,715.166,845.644,1134.216,1851.091,0.003,,5996.8,7287.4
2965,5555.8,369.198,0.732,111.607,284.097,554.901,811.583,981.589,1338.542,2480.298,0.003,,5555.8,8047.8
2970,5237.8,441.99,0.76,136.11,311.333,590.208,846.026,1007.104,1692.333,7191.169,0.002,,5237.8,7405
2975,671,3221.645,1.997,147.471,5554.573,5847.1,6010.201,6117.832,6449.401,6837.443,0,,671,7075
2980,5885,332.958,0.84,108.363,235.913,440.566,694.813,1177.438,1491.905,2605.111,0.003,,5885,6645
2985,6106.2,285.563,1.029,100.667,237.852,420.232,584.237,708.3,1018.833,2043.231,0.004,,6106.2,6474.4
2990,7262.8,285.075,1.25,94.784,234.196,430.433,604.757,711.173,937.65,1685.787,0.004,,7262.8,6022.8
2995,6829.8,296.588,1.129,105.761,245.278,439.909,627.756,736.505,971.598,1866.442,0.003,,6829.8,5612.8
3000,3755.8,773.62,1.417,128.878,292.119,570.256,4277.935,4561.173,4949.848,6002.903,0.001,,3755.8,3421.8
3005,3214.4,374.876,1.524,142.698,305.533,553.785,774.512,924.807,1203.198,1966.261,0.003,,3214.4,0
3010,1921.4,1358.426,1.345,129.933,309.098,792.574,5244.993,5505.111,5771.593,6080.53,0.001,,1921.4,3082
3015,5450.8,268.221,1.368,96.41,224.763,390.681,564.163,674.438,903.012,1514.641,0.004,,5450.8,8085.8
3020,7843.4,260.52,0.738,97.722,216.234,376.771,544.885,649.168,853.82,1510.354,0.004,,7843.4,8199.6
3025,7428.4,276.112,1.132,98.17,224.21,409.956,580.896,690.258,926.032,1645.236,0.004,,7428.4,7345.8
3030,6977.2,296.947,1.018,104.89,240.638,440.481,628.654,752.128,987.255,1701.903,0.003,,6977.2,7052.6
3035,6570,309.878,1.374,113.674,251.503,459.739,654.307,765.446,1001.514,1763.703,0.003,,6570,2219.8
3040,6120.6,341.763,1.086,113.408,273.538,516.197,733.307,867.909,1154.389,1759.962,0.003,,6120.6,1537
3045,5733.8,350.719,0.805,129.247,284.248,524.692,726.218,861.308,1133.896,1885.055,0.003,,5733.8,6012.4
3050,4633.4,853.285,1.269,176.461,369.149,724.583,1206.13,5409.354,5806.729,7100.553,0.001,,4633.4,1265.8
3055,321.6,555.862,7.126,316.548,511.493,767.06,961.405,1109.673,1315.878,1774.227,0.002,,321.6,2155.6
3060,7802.6,251.715,1.228,102.47,219.293,363.978,506.906,601.472,775.981,1296.646,0.004,,7802.6,8386.8
3065,7296.6,283.861,0.913,103.194,227.426,410.987,605.603,730.491,989.877,1541.289,0.004,,7296.6,7769
3070,6984.2,293.526,0.865,99.276,234.252,438.396,637.07,754.829,977.248,1786.271,0.003,,6984.2,6464.6
3075,7230,285.685,1.163,100.834,235.577,428.386,597.443,703.226,921.172,1667.621,0.004,,7230,6758.6
3080,6389.8,317.657,0.807,119.745,262.515,465.075,661.333,783.028,1025.884,1905.286,0.003,,6389.8,6682.8
3085,2656.8,1174.787,0.647,104.373,280.876,616.561,5911.177,6171.573,6405.474,7156.025,0.001,,2656.8,6493.4
3090,2676.6,367.683,2.032,124.638,294.335,521.269,806.791,964.056,1287.401,1971.669,0.003,,2676.6,4789.2
3095,2359,1066.752,1.907,123.037,341.863,753.624,4468.019,4711.895,5121.36,6099.667,0.001,,2359,829.6
3100,5537.8,280.945,1.679,105.591,231.883,418.173,574.457,693.879,940.166,1571.83,0.004,,5537.8,8039.8
3105,7986,256.405,1.521,90.202,214.367,381.126,540.439,641.972,821.691,1531.114,0.004,,7986,7964
3110,7254.6,278.258,1.103,90.355,218.45,409.093,610.375,724.727,985.635,1895.127,0.004,,7254.6,7234.6
3115,6866.6,305.171,0.9,115.047,259.012,449.643,623.835,738.889,986.849,1919.233,0.003,,6866.6,6958
3120,6359.6,319.865,1.031,106.893,260.384,484.128,670.394,795.21,1050.904,1842.935,0.003,,6359.6,4823
3125,6438.2,324.691,1.244,110.51,262.513,477.693,696.674,833.001,1103.995,1986.462,0.003,,6438.2,5965.8
3130,5600.8,366.067,0.804,121.814,305.601,549.219,779.323,909.599,1185.962,1974.687,0.003,,5600.8,6198.4
3135,3433.2,1975.159,2.943,164.826,367.924,696.844,13272.597,13722.308,14786.417,15033.946,0.001,,3433.2,5914.4
3140,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,7739.4
3145,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,7258.4
3150,2734.8,519.844,3.427,192.81,431.089,762.602,1055.781,1344.438,1688.477,2612.739,0.002,,2734.8,7292
3155,4755,445.354,1,151.237,336.926,649.018,972.689,1228.11,1670.459,2701.373,0.002,,4755,6472.6
3160,3923.2,498.66,3.605,188.994,398.909,709.351,1051.63,1279.397,1792.003,2907.961,0.002,,3923.2,6395
3165,3879,561.15,2.973,165.371,392.216,836.174,1262.906,1561.791,2161.873,3382.126,0.002,,3879,5789
3170,3412.8,551.171,0.698,193.926,399.42,807.014,1181.582,1450.145,2061.472,3174.6,0.002,,3412.8,5647.8
3175,7464.8,276.091,1.218,95.432,225.725,406.463,589.849,700.73,922.547,1698.566,0.004,,7464.8,4202.4
3180,6719.8,304.377,1.46,109.019,246.862,445.21,638.691,775.941,1029.791,1752.738,0.003,,6719.8,0
3185,6469.6,317.055,0.869,114.276,254.381,469.758,672.176,799.672,1023.347,1637.07,0.003,,6469.6,1523.2
3190,6075.2,339.075,0.735,112.669,272.662,508.78,728.471,866.928,1154.968,2094.676,0.003,,6075.2,8535.8
3195,6063,337.214,1.432,105.064,269.775,511.229,727.522,857.176,1133.822,2005.14,0.003,,6063,8526.8
3200,5583.4,369.535,0.986,128.362,299.672,554.149,776.842,923.567,1227.119,1941.684,0.003,,5583.4,7645.4
3205,5547.6,367.61,2.172,126.41,297.793,554.936,773.317,907.08,1193.141,2061.83,0.003,,5547.6,7428.2
3210,5120.4,401.696,2.222,138.464,317.339,613.158,842.554,988.903,1296.167,2233.953,0.002,,5120.4,6588
3215,5206.4,392.652,1.71,140.245,313.598,591.423,818.846,957.097,1288.126,2371.416,0.003,,5206.4,6420
3220,4747.2,440.62,2.028,145.096,348.18,676.335,938.812,1095.663,1432.268,3046.943,0.002,,4747.2,6085
3225,2725.8,1385.646,4.068,183.175,420.954,891.488,6668.807,6829.72,7338.698,8522.351,0.001,,2725.8,5596.6
3230,527.6,559.374,22.07,216.425,504.125,837.379,1101.19,1319.551,1614.933,1841.851,0.002,,527.6,5514.2
3235,7411.4,265.165,0.827,84.638,204.735,390.317,584.296,706.923,982.735,1632.635,0.004,,7411.4,1293.4
3240,7445.4,276.098,0.996,108.8,237.842,398.249,551.535,659.351,890.517,1730.102,0.004,,7445.4,0
3245,7235.8,283.555,1.024,98.417,227.873,426.898,600.943,711.534,945.898,1625.895,0.004,,7235.8,5124
3250,6770.6,308.865,1.287,110.493,258.535,453.492,640.928,761.253,1014.202,1710.366,0.003,,6770.6,7863.2
3255,5114.2,617.935,0.985,108.756,271.739,530.526,967.598,4013.963,4492.705,5495.302,0.002,,5114.2,7304.8
3260,2185.8,419.334,3.519,165.129,358.108,607.56,853.876,1016.142,1288.172,1736.119,0.002,,2185.8,6939.2
3265,2890,1287.271,1.28,133.869,319.347,628.037,6926.721,7298.091,7505.462,8324.211,0.001,,2890,2485.8
3270,1043.4,324.547,0.826,141.66,292.764,482.312,624.504,716.246,912.098,1225.808,0.003,,1043.4,0
3275,7649,268.442,0.686,96.183,220.899,396.894,567.365,673.935,899.982,1663.581,0.004,,7649,3418.4
3280,7839.8,260.861,0.914,85.455,207.916,390.152,561.592,669.481,899.172,1474.617,0.004,,7839.8,8811
3285,6896.8,296.16,1.597,106.035,240.067,438.307,622.852,743.222,969.945,1495.818,0.003,,6896.8,8083
3290,6983.2,293.202,1.349,95.046,237.317,438.29,623.781,741.79,1005.054,1652.486,0.003,,6983.2,7574.6
3295,6099,349.061,1.821,131.803,283.842,506.928,739.514,881.117,1159.36,2075.523,0.003,,6099,7348.2
3300,3731,615.424,1.483,111.872,282.048,561.511,2886.361,3148.687,3510.886,4304.211,0.002,,3731,6347
3305,4540,1230.978,1.209,142.727,325.58,607.613,1116.854,10018.538,10378.022,11328.004,0.001,,4540,6419.6
3310,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,5776.6
3315,552.4,366.24,9.536,207.571,359.559,504.538,556.548,692.513,947.694,1297.526,0.003,,552.4,5540
3320,8316,248.339,1.071,91.942,206.654,367.211,525.197,620.697,779.68,1761.805,0.004,,8316,5330.4
3325,7840,260.34,1.085,93.164,209.716,386.373,548.77,660.526,869.505,1590.628,0.004,,7840,3270.4
3330,7410.2,276.81,0.888,101.703,229.551,411.877,581.169,669.445,870.986,1552.7,0.004,,7410.2,7038.8
3335,7056.4,297.532,1.352,103.423,236.674,445.891,632.087,749.769,993.052,1732.602,0.003,,7056.4,7396.2
3340,6260.2,324.881,1.64,122.096,266.88,480.266,684.758,800.987,1036.793,2140.111,0.003,,6260.2,6879.8
3345,5886,345.591,0.718,127.083,289.115,510.12,718.92,849.34,1092.23,1935.018,0.003,,5886,4648.2
3350,6048.2,338.085,1.255,112.625,262.013,505.069,729.627,870.062,1168.238,2093.19,0.003,,6048.2,4278
3355,5533.6,363.578,1.332,129.464,288.403,545.112,770.986,896.063,1161.868,1944.511,0.003,,5533.6,688
3360,4888.4,629.882,2.006,174.402,359.65,651.749,912.719,1123.805,9104.735,10298.014,0.002,,4888.4,4611.4
3365,413.6,6182.206,9.274,257.952,8360.126,8821.895,9065.947,9208.686,9472.886,9779.081,0,,413.6,8034.2
3370,1635,338.003,2.953,136.412,283.154,500.452,687.303,797.673,1036.002,1463.593,0.003,,1635,7769
3375,7454.2,269.37,0.885,103.411,228.242,400.551,549.112,643.737,821.515,1312.545,0.004,,7454.2,7048.8
3380,7307.6,280.042,0.896,94.363,223.25,418.387,602.519,716.19,952.344,1506.651,0.004,,7307.6,6745.4
3385,7082.8,292.369,1.094,104.694,240.06,441.076,610.493,720.089,943.401,1557.841,0.003,,7082.8,6370.8
3390,6485.2,312.785,1.151,119.225,264.259,451.708,647.698,761.659,1021.071,1725.358,0.003,,6485.2,5996.4
3395,6124.6,340.756,0.673,130.512,283.907,518.323,686.851,802.784,1074.603,2345.99,0.003,,6124.6,5726.8
3400,5609.8,360.182,0.765,125.156,287.447,537.408,768.546,910.848,1191.492,1966.852,0.003,,5609.8,5499.2
3405,5557.6,374.269,1.582,133.544,300.502,542.276,798.063,956.634,1302.807,2558.945,0.003,,5557.6,5332.2
3410,3720.2,1301.281,2.141,197.362,422.847,876.325,7431.417,8134.588,8457.358,9764.621,0.001,,3720.2,4317.6
3415,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000,,0,4784.6
3420,4539.6,277.974,1.612,103.228,223.65,394.637,587.166,713.346,1016.432,1595.533,0.004,,4539.6,6807.8
3425,8001.6,260.527,0.97,87.236,214.117,392.635,555.302,656.197,866.96,1525.579,0.004,,8001.6,6389.4
3430,7021.8,283.54,1.124,111.378,236.663,418.867,580.629,682.265,886.383,1603.581,0.004,,7021.8,3848.6
3435,6812,308.379,1.55,107.045,245.115,460.183,664.687,787.76,1035.498,1563.274,0.003,,6812,1243.2
3440,6396,314.541,1.464,107.176,249.17,465.211,684.542,811.854,1077.239,1853.893,0.003,,6396,3793.6
3445,5708,356.683,1.45,142.097,314.687,516.925,704.971,839.654,1113.739,2349.558,0.003,,5708,0
