Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled,,Throughput (requests/second),Throughput (requests/second)
825,7050.8,288.661,0.666,92.503,228.843,436.218,625.039,739.279,994.027,1755.951,0.003,,7050.8,7344.4
830,6512,316.238,0.944,102.43,252.431,479.719,674.433,801.447,1069.442,1825.145,0.003,,6512,6954
835,6238.4,332.857,0.781,109.299,261.517,503.819,716.01,845.037,1123.767,1841.625,0.003,,6238.4,6556.8
840,5889.4,500.813,0.791,115.868,275.103,537.69,769.334,939.124,8926.421,10123.425,0.002,,5889.4,5919.4
845,560.6,4567.884,1.187,131.074,8143.59,8349.731,8578.764,8662.577,8858.18,9421.741,0,,560.6,5642.8
850,2174,258.228,1.282,98.294,220.128,378.572,528.153,626.007,808.989,1201.633,0.004,,2174,5831
855,8792,235.349,0.567,74.159,189.304,352.711,511.036,606.213,803.787,1472.776,0.004,,8792,5408
860,8248.4,249.051,0.863,80.319,196.309,371.769,541.251,655.665,864.865,1689.865,0.004,,8248.4,5450.2
865,7847.8,259.872,0.837,81.607,205.474,390.25,569.327,676.136,890.027,1589.491,0.004,,7847.8,5816.8
870,6957.2,294.441,0.782,102.025,238.394,437.088,625.839,743.113,980.206,2120.614,0.003,,6957.2,7819.6
875,6771.2,304.088,0.745,102.275,240.2,456.804,650.622,772.989,1027.116,1698.513,0.003,,6771.2,5094.6
880,6488,315.999,1.044,102.05,248.914,485.431,684.592,798.962,1046.479,2058.358,0.003,,6488,3680
885,6334.8,326.464,0.708,110.476,265.228,494.358,686.272,797.75,1065.423,1849.565,0.003,,6334.8,1275.8
890,5675.6,363.563,0.981,118.751,279.951,538.625,765.86,917.042,1231.955,8301.928,0.003,,5675.6,5051.2
895,1155.8,2621.524,0.613,109.849,323.06,6904.793,7318.72,7380.556,7568.347,8040.86,0,,1155.8,8968.2
900,4199,237.852,0.828,84.983,198.549,352.451,500.469,588.802,783.79,1258.127,0.004,,4199,8491.2
905,8524,240.838,0.774,81.258,195.222,358.605,515.309,613.925,819.645,1522.036,0.004,,8524,7715.6
910,8184.6,250.733,0.704,84.556,202.583,373.417,536.382,634.784,846.008,1709.851,0.004,,8184.6,7133.2
915,7687.2,266.624,0.704,86.453,210.587,401.406,581.095,687.729,904.791,1620.383,0.004,,7687.2,6979.2
