[INFO ] 2025-06-29 04:14:16,451 [main]  com.oltpbenchmark.ThreadBench runRateLimitedMultiPhase - TERMINATE :: Waiting for all terminals to finish ..
[INFO ] 2025-06-29 04:14:16,666 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Starting WatchDogThread
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - ======================================================================
[INFO ] 2025-06-29 04:14:21,047 [main]  com.oltpbenchmark.DBWorkload runWorkload - Rate limited reqs/s: Results(state=EXIT, nanoSeconds=3600000000012, measuredRequests=21259744) = 5905.484444424759 requests/sec (throughput), 6428.25027775635 requests/sec (goodput)
[INFO ] 2025-06-29 04:14:21,078 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output Raw data into file: tpcc_2025-06-29_04-14-21.raw.csv
[INFO ] 2025-06-29 04:14:36,675 [Thread-2076]  com.oltpbenchmark.ThreadBench run - Worker Thread Status:


[INFO ] 2025-06-29 04:14:36,984 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output samples into file: tpcc_2025-06-29_04-14-21.samples.csv
[INFO ] 2025-06-29 04:14:37,642 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output summary data into file: tpcc_2025-06-29_04-14-21.summary.json
[INFO ] 2025-06-29 04:14:37,647 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS parameters into file: tpcc_2025-06-29_04-14-21.params.json
[INFO ] 2025-06-29 04:14:37,651 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output DBMS metrics into file: tpcc_2025-06-29_04-14-21.metrics.json
[INFO ] 2025-06-29 04:14:37,653 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output benchmark config into file: tpcc_2025-06-29_04-14-21.config.xml
[INFO ] 2025-06-29 04:14:37,674 [main]  com.oltpbenchmark.DBWorkload writeOutputs - Output results into file: tpcc_2025-06-29_04-14-21.results.csv with window size 5
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - Workload Histograms:

Completed Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [10396495] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [10033542] *****************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.OrderStatus/03                      [  932932] *******
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [  844793] ******
com.oltpbenchmark.benchmarks.tpcc.procedures.StockLevel/05                       [  933939] *******

Aborted Transactions:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [104849] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [ 87491] ******************************************************************

Rejected Transactions (Server Retry):
<EMPTY>

Rejected Transactions (Retry Different):
<EMPTY>

Unexpected SQL Errors:
com.oltpbenchmark.benchmarks.tpcc.procedures.NewOrder/01                         [ 519] **************
com.oltpbenchmark.benchmarks.tpcc.procedures.Payment/02                          [2914] ********************************************************************************
com.oltpbenchmark.benchmarks.tpcc.procedures.Delivery/04                         [2214] ************************************************************

Unknown Status Transactions:
<EMPTY>


[INFO ] 2025-06-29 04:14:40,487 [main]  com.oltpbenchmark.DBWorkload writeHistograms - ======================================================================
[1]+  완료                  nohup ./run_tpcc.sh > tmp2 1>&1
minsky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ ^C





insky@minsky-MS-7E13:~/benchbase/target/benchbase-mariadb$ cat results/tpcc_2025-06-29_04-14-21.results.csv
Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
1800,5575.600,361.643,0.513,107.779,279.052,549.908,791.521,941.031,1285.679,2214.904,0.003
1805,3812.400,1287.772,0.664,97.695,289.778,638.277,8878.744,9207.857,9701.582,10711.282,0.001
1810,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
1815,4613.400,262.906,1.115,89.469,216.314,389.292,554.141,666.621,885.576,1424.155,0.004
1820,8059.400,252.848,0.659,79.873,196.941,380.924,554.639,662.993,878.632,1564.100,0.004
1825,6935.200,299.218,0.768,84.279,220.324,444.940,685.932,835.924,1127.014,2053.767,0.003
1830,7129.800,291.631,1.263,103.178,232.679,436.795,612.191,720.299,940.085,6535.198,0.003
1835,1516.400,1605.887,0.814,104.047,279.113,5091.909,5460.507,5612.972,5832.698,6312.186,0.001
1840,4901.400,582.849,0.788,116.166,270.617,512.529,750.590,1007.247,7584.923,8373.564,0.002
1845,317.000,5257.762,1.322,191.769,7115.962,7223.321,7394.865,7557.917,7814.343,8551.546,0.000
1850,4734.200,243.106,1.139,79.443,202.429,350.264,519.840,633.618,876.132,1447.588,0.004
1855,8594.600,241.123,0.589,70.338,184.439,363.665,532.678,644.085,877.797,1710.742,0.004
1860,8331.600,248.445,0.776,75.251,198.059,377.113,542.458,644.772,860.959,1910.902,0.004
1865,7592.200,267.084,0.782,79.785,209.754,404.596,583.775,697.470,928.968,1536.891,0.004
1870,7115.800,291.072,0.845,98.738,235.886,430.817,616.618,740.030,994.813,2319.241,0.003
1875,6741.800,305.780,0.828,86.542,237.228,469.655,677.766,809.611,1059.609,1689.500,0.003
1880,6500.400,310.093,0.704,99.950,246.776,470.830,666.329,789.088,1055.024,1664.578,0.003
1885,6062.200,343.101,0.694,111.062,275.548,521.621,727.167,856.100,1130.329,1965.978,0.003
1890,5803.400,352.662,1.710,112.457,281.703,534.673,747.505,883.503,1197.509,2031.673,0.003
1895,5519.200,377.346,0.895,114.213,288.140,577.171,821.402,971.481,1331.324,2358.683,0.003
1900,5356.000,370.886,0.699,114.507,286.710,563.976,815.008,965.969,1268.397,2515.832,0.003
1905,4894.400,426.784,1.021,137.132,337.556,643.794,896.867,1079.623,1465.361,3084.157,0.002
1910,5098.800,405.072,0.875,124.486,308.246,623.370,881.201,1035.496,1378.243,2425.417,0.002
1915,7106.200,279.543,0.599,95.988,223.479,414.336,598.358,714.799,954.757,1767.981,0.004
1920,7197.600,285.023,0.618,101.136,231.138,418.187,600.754,717.329,937.876,1775.612,0.004
1925,3183.000,943.779,1.005,112.071,267.348,567.920,5252.366,5397.539,5727.106,7026.938,0.001
1930,2998.800,365.691,1.175,144.997,296.483,539.412,751.185,893.828,1183.316,1830.648,0.003
1935,4645.600,438.253,0.970,88.377,241.512,494.799,930.018,2054.580,2519.057,3281.914,0.002
1940,8108.400,252.230,0.790,77.762,200.688,377.628,550.103,661.849,892.793,1706.243,0.004
1945,8373.800,244.986,0.624,74.113,187.357,367.705,541.000,651.145,885.659,1665.330,0.004
1950,7393.200,277.983,0.962,89.022,223.167,418.412,600.985,711.425,922.372,1623.484,0.004
1955,7165.600,282.770,0.718,95.337,227.495,425.304,606.096,718.848,937.446,1849.608,0.004
1960,5461.000,669.083,0.709,104.791,266.265,519.787,862.079,5116.109,5436.630,6312.971,0.001
1965,1341.400,360.180,2.418,166.995,313.000,485.353,739.944,879.537,1130.665,1656.405,0.003
1970,6255.200,324.472,0.750,89.406,248.636,498.280,728.690,863.601,1158.463,1922.329,0.003
1975,3859.800,785.866,0.786,104.740,288.285,608.339,4394.554,4713.266,5019.640,5859.219,0.001
1980,4080.400,254.623,1.093,93.329,210.313,373.886,535.925,632.800,832.783,1623.306,0.004
1985,8209.000,249.348,0.558,79.709,202.167,374.545,537.497,635.980,837.385,1457.413,0.004
1990,7927.600,259.547,0.935,83.136,207.498,393.181,561.758,657.097,865.655,1508.041,0.004
1995,7051.800,291.202,0.942,100.174,233.195,437.724,618.874,733.654,971.479,1675.293,0.003
2000,6112.000,333.920,0.771,104.148,255.213,497.745,750.552,857.207,1219.507,2191.643,0.003
2005,6433.600,317.145,0.646,101.105,248.769,480.954,687.422,811.157,1063.320,1943.639,0.003
2010,6411.800,324.394,0.833,101.911,256.017,493.163,698.622,826.286,1104.140,1917.782,0.003
2015,5687.600,384.155,1.108,127.465,294.927,549.350,783.969,925.593,1271.384,7993.824,0.003
2020,1159.200,2294.609,1.532,77.421,293.917,6216.672,6470.010,6586.353,6812.454,7061.455,0.000
2025,5234.200,246.323,1.737,91.908,207.003,360.956,496.416,609.471,810.673,1475.900,0.004
2030,8210.400,245.712,0.936,80.373,198.715,368.981,528.325,626.122,824.342,1545.766,0.004
2035,8315.000,248.036,0.621,83.783,201.209,372.882,530.292,628.806,824.372,1362.328,0.004
2040,7404.800,276.307,0.931,93.079,222.062,415.759,587.281,696.833,915.420,1448.797,0.004
2045,7005.200,293.411,1.043,106.144,242.029,430.359,613.003,732.270,982.696,1782.734,0.003
2050,6596.600,312.439,0.704,95.625,242.256,475.072,680.777,816.294,1107.941,1845.029,0.003
2055,6269.600,323.274,0.621,106.177,258.542,487.660,695.395,816.241,1059.839,1910.247,0.003
2060,5850.000,354.761,1.091,119.705,276.940,532.597,756.163,906.360,1202.538,2204.632,0.003
2065,5795.000,352.215,0.912,115.404,279.244,532.499,755.527,898.060,1203.177,2635.953,0.003
2070,5505.200,382.192,0.858,118.914,297.275,582.062,828.879,974.634,1319.688,2176.738,0.003
2075,2871.800,899.402,0.779,106.951,308.542,671.260,4231.334,4480.850,4773.789,5581.273,0.001
2080,5404.800,273.713,1.215,90.057,215.378,397.435,583.726,717.951,1067.400,1722.620,0.004
2085,6618.000,302.272,0.857,102.513,240.729,453.683,660.874,768.439,965.273,1743.744,0.003
2090,7213.000,280.285,0.876,93.198,224.263,419.076,603.202,718.368,953.704,1607.774,0.004
2095,2068.200,1244.074,1.045,102.036,263.294,582.508,5222.332,5495.797,5709.967,6287.006,0.001
2100,4358.600,354.678,1.110,126.081,279.583,535.812,754.031,877.930,1187.461,2181.512,0.003
2105,6778.600,303.862,0.844,87.324,230.249,464.238,676.793,810.676,1092.747,2053.794,0.003
2110,6135.200,334.585,1.152,100.472,262.657,508.501,728.292,872.864,1169.560,1958.980,0.003
2115,6565.400,305.877,0.988,95.104,241.009,458.100,670.257,795.697,1076.146,1794.672,0.003
2120,7250.400,284.009,0.859,99.589,225.409,421.593,607.524,726.271,947.363,1653.173,0.004
2125,7335.200,284.321,0.884,94.426,225.326,426.129,608.770,727.850,969.412,1746.934,0.004
2130,6612.000,307.302,0.570,90.732,238.171,463.648,679.277,810.099,1096.327,1804.231,0.003
2135,6516.400,311.598,0.977,90.599,245.426,479.668,682.481,804.844,1073.627,1938.820,0.003
2140,6108.600,335.169,0.973,107.064,263.280,509.114,723.538,856.039,1135.061,2108.606,0.003
2145,5639.800,373.259,1.104,122.270,291.363,554.476,793.337,936.771,1253.368,8843.780,0.003
2150,1472.600,2195.177,1.167,80.375,255.141,7089.614,7486.762,7622.255,7952.160,8714.634,0.000
2155,2975.200,263.186,1.515,84.255,207.543,396.276,575.405,677.249,894.400,1485.661,0.004
2160,8597.200,237.194,0.817,79.868,191.197,353.898,507.600,605.722,802.434,1650.966,0.004
2165,8079.400,253.622,0.837,81.104,200.838,379.647,552.963,656.525,872.146,1640.520,0.004
2170,7867.800,262.833,1.003,92.435,210.762,386.934,558.735,669.356,892.595,1392.014,0.004
2175,6977.600,295.039,0.730,105.043,236.933,439.575,628.062,740.496,963.783,1648.474,0.003
2180,7009.000,323.322,0.913,89.401,232.899,445.941,660.756,820.941,2120.817,3315.353,0.003
2185,4194.800,450.569,1.416,126.299,299.004,580.369,946.538,1755.942,2267.042,3060.067,0.002
2190,4490.800,1536.015,1.038,104.968,277.425,560.099,1055.974,13760.870,14084.393,14706.453,0.001
2195,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2205,4405.200,340.341,1.006,86.950,216.819,404.865,793.831,1376.425,1638.131,2395.763,0.003
2210,6898.200,254.322,0.894,88.219,211.539,379.351,535.880,639.323,826.296,1416.851,0.004
2215,8204.600,250.378,0.963,83.131,199.431,371.431,538.679,643.803,875.861,1526.549,0.004
2220,7481.400,274.418,0.602,86.386,219.519,414.393,595.244,709.458,933.028,1598.552,0.004
2225,7124.000,289.120,1.053,103.864,234.990,436.556,603.350,700.605,925.888,2285.866,0.003
2230,6685.600,306.290,0.966,88.552,232.030,469.058,680.122,813.023,1088.394,2312.307,0.003
2235,6243.800,332.538,1.009,113.963,267.040,506.521,701.705,824.457,1095.964,1915.240,0.003
2240,5660.800,361.643,1.465,111.944,287.374,550.724,784.252,927.134,1214.396,7410.388,0.003
2245,1526.400,1819.384,0.989,126.736,338.267,5718.266,6169.132,6299.346,6506.090,7162.955,0.001
2250,5202.400,245.135,1.046,90.094,206.568,362.475,509.361,607.589,793.985,1443.625,0.004
2255,8101.200,251.144,0.930,72.298,195.544,379.371,557.646,672.325,884.987,1643.074,0.004
2260,8056.400,255.744,0.599,81.068,203.488,383.756,552.649,664.800,880.104,1669.142,0.004
2265,7331.400,275.349,0.865,96.993,224.252,410.933,579.505,684.465,894.129,1487.431,0.004
2270,6987.800,298.042,1.035,107.002,238.541,445.076,626.368,739.325,985.175,1675.689,0.003
2275,4073.000,594.441,1.231,114.045,272.753,534.950,2904.004,3207.827,3617.462,4443.925,0.002
2280,4699.800,528.877,1.339,124.962,281.095,546.141,802.330,1020.613,5936.766,6877.325,0.002
2285,374.400,3627.304,1.500,79.676,5322.584,5491.317,5699.591,5832.969,6087.264,6305.705,0.000
2290,7501.400,250.185,0.824,76.293,198.197,376.518,546.387,654.000,868.847,1600.428,0.004
2295,8437.000,243.263,0.658,74.327,189.059,364.701,534.513,641.282,860.742,1554.681,0.004
2300,7791.400,265.341,0.733,88.543,209.583,398.427,573.311,676.764,895.079,1829.851,0.004
2305,7357.200,281.711,1.113,94.804,223.519,421.461,599.276,714.278,959.127,1821.879,0.004
2310,6642.000,305.989,0.880,100.947,241.576,460.613,660.047,784.935,1007.739,1935.920,0.003
2315,6685.400,304.906,0.946,98.680,241.735,459.513,655.835,784.934,1032.207,2002.183,0.003
2320,6239.800,328.339,1.186,103.689,258.811,497.578,711.842,844.818,1119.210,2045.763,0.003
2325,5757.800,362.219,0.954,115.798,287.314,544.526,776.941,929.624,1272.765,2378.275,0.003
2330,5550.000,374.913,1.606,105.337,281.751,578.051,835.535,992.298,1334.698,2548.334,0.003
2335,5406.200,372.205,0.812,110.875,295.909,569.199,807.172,963.217,1299.479,2291.830,0.003
2340,5318.600,379.487,1.022,120.603,290.716,586.783,813.089,954.285,1309.212,2445.547,0.003
2345,7569.600,270.775,0.884,95.869,220.089,398.386,575.867,688.820,917.817,1689.702,0.004
2350,7374.000,276.546,0.837,87.193,216.156,408.739,606.553,734.490,978.806,2126.620,0.004
2355,6981.600,406.166,0.951,106.699,240.354,442.564,627.204,763.065,7594.477,8415.981,0.002
2360,563.600,3899.691,0.700,73.505,7060.369,7246.024,7386.449,7520.851,7840.691,8368.556,0.000
2365,3207.000,360.077,1.497,124.142,291.227,535.928,760.580,897.699,1145.969,9248.728,0.003
2370,1578.800,2251.510,1.299,131.440,352.164,7564.951,7946.829,8151.901,8269.922,8938.265,0.000
2375,1931.800,250.908,1.273,93.614,217.572,369.747,511.970,600.698,762.648,1116.639,0.004
2380,8959.000,227.922,0.784,77.139,186.353,330.575,484.903,583.103,780.314,1456.431,0.004
2385,8376.800,242.595,0.561,83.814,201.088,360.015,510.663,609.059,811.077,1592.070,0.004
2390,7651.000,270.500,0.859,90.019,212.988,400.025,585.990,704.247,935.421,1676.143,0.004
2395,7715.800,272.722,0.941,93.363,220.453,413.668,588.718,673.266,877.603,1585.288,0.004
2400,6244.600,319.338,1.099,111.738,265.027,473.420,675.243,805.377,1060.214,1845.298,0.003
2405,6721.200,307.873,0.786,87.446,235.064,470.213,687.671,813.142,1087.275,1999.569,0.003
2410,6107.200,339.331,0.953,107.180,262.626,518.816,734.662,865.766,1150.353,2118.523,0.003
2415,5917.400,345.240,0.971,111.234,275.561,522.663,734.102,869.915,1151.065,1951.105,0.003
2420,5546.400,377.265,0.775,121.329,300.256,571.241,817.147,969.600,1257.097,2412.184,0.003
2425,5284.600,377.263,0.774,119.732,291.947,569.957,819.728,977.676,1326.724,2368.038,0.003
2430,4705.200,970.556,0.831,129.087,318.892,658.605,1192.013,7277.203,7633.122,8631.543,0.001
2435,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2440,5634.000,276.266,0.774,89.663,218.615,408.674,596.171,718.474,967.360,1711.574,0.004
2445,7719.000,260.493,0.834,85.989,207.275,388.300,566.577,670.150,886.525,1696.054,0.004
2450,7277.000,293.321,1.180,98.393,237.523,436.105,627.587,741.782,970.304,1910.633,0.003
2455,3592.600,929.182,0.855,104.343,259.462,521.453,5755.551,5990.013,6440.707,7142.965,0.001
2460,2143.200,335.209,0.709,117.207,264.181,513.083,712.965,824.799,1086.015,1611.998,0.003
2465,2885.800,1411.356,1.578,123.444,277.721,544.724,8065.113,8361.863,8698.132,9073.363,0.001
2470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2475,8248.200,247.940,0.781,83.309,202.131,368.747,528.627,627.025,831.131,1332.009,0.004
2480,8292.000,245.909,0.933,73.107,191.351,368.369,543.065,659.127,888.664,1465.069,0.004
2485,7858.600,261.802,0.526,90.935,212.575,391.943,555.244,658.327,866.011,1430.924,0.004
2490,7189.200,288.612,0.985,101.640,234.222,431.108,613.082,717.311,944.675,1797.419,0.003
2495,6685.400,304.671,1.007,98.503,242.404,460.555,655.028,775.778,1022.188,1978.496,0.003
2500,6541.800,312.267,1.026,101.221,248.981,474.394,674.171,795.738,1031.389,1774.679,0.003
2505,6231.600,334.480,0.777,122.477,268.233,500.305,703.820,820.170,1089.445,1776.040,0.003
2510,3444.200,1517.498,0.892,107.877,312.566,662.267,9988.521,10240.185,10754.521,11811.197,0.001
2515,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2520,3370.200,258.319,1.113,83.577,207.176,384.561,560.486,666.195,876.047,1448.852,0.004
2525,8760.000,236.545,0.848,76.090,188.743,351.796,513.555,612.997,821.902,1387.115,0.004
2530,8062.600,252.465,0.838,87.948,207.665,375.728,531.055,630.576,830.788,1495.530,0.004
2535,7645.800,271.052,0.780,92.334,218.393,406.613,580.555,684.752,892.024,1340.235,0.004
2540,6962.600,482.784,1.247,98.594,241.872,456.623,708.274,3636.711,4057.855,5190.235,0.002
2545,1956.400,362.490,1.602,127.779,277.886,542.472,739.051,852.469,1166.636,4766.929,0.003
2550,6375.800,324.509,0.992,101.998,248.693,492.622,717.232,846.554,1122.921,1983.593,0.003
2555,6422.800,620.285,0.769,99.146,252.753,493.011,790.029,1143.079,7498.777,8577.881,0.002
2560,146.200,6134.138,2.227,7084.287,7121.748,7428.360,7622.416,7730.140,7897.581,8086.790,0.000
2565,4383.200,278.335,0.856,95.691,227.052,414.344,592.648,707.928,940.735,1615.459,0.004
2570,7850.800,261.801,0.860,90.441,213.588,393.666,554.649,659.162,856.740,1470.704,0.004
2575,7432.600,300.409,0.862,95.569,226.939,421.873,623.282,786.785,1395.243,2117.951,0.003
2580,5312.600,356.216,0.731,119.923,261.541,502.198,763.227,1052.278,1495.885,1840.750,0.003
2585,6736.200,300.907,0.902,94.536,241.752,454.157,652.055,775.614,1019.403,1724.166,0.003
2590,6368.200,325.146,0.795,109.138,261.507,489.700,693.127,819.261,1060.400,1936.433,0.003
2595,2645.200,1082.346,0.986,118.344,311.981,667.835,5128.051,5396.202,5732.147,6845.304,0.001
2600,4571.800,260.913,0.859,93.706,219.404,391.123,523.907,625.118,854.246,1417.188,0.004
2605,8358.200,246.489,1.046,86.377,198.866,367.267,523.495,624.778,826.686,1434.515,0.004
2610,7729.600,263.906,0.720,89.499,213.741,395.142,564.090,665.800,872.453,1656.058,0.004
2615,7293.800,283.419,0.784,90.041,218.032,431.305,619.907,734.934,964.947,1618.465,0.004
2620,7032.600,290.441,0.687,101.698,238.507,430.577,611.964,731.680,978.117,1643.066,0.003
2625,6667.600,310.000,0.953,96.346,243.060,469.470,675.125,796.656,1054.407,1768.462,0.003
2630,6414.600,318.257,0.750,117.058,257.249,475.712,669.082,784.889,1019.542,1646.994,0.003
2635,5690.600,355.771,0.908,100.613,275.015,536.790,794.371,953.680,1297.821,2154.620,0.003
2640,5905.000,360.121,1.094,107.030,271.940,552.053,798.744,953.456,1278.739,2177.907,0.003
2645,5565.800,361.625,0.718,110.660,278.447,552.299,796.015,944.217,1226.572,2249.467,0.003
2650,6983.800,289.260,0.933,98.149,231.058,431.409,624.862,748.563,990.634,1624.728,0.003
2655,7297.800,281.916,0.964,100.821,226.276,414.808,605.422,718.872,949.548,1896.922,0.004
2660,4586.200,451.624,1.027,98.786,240.864,471.885,878.098,2240.332,2646.214,3426.638,0.002
2665,4578.800,888.997,1.584,117.417,280.162,537.212,976.882,6738.307,7156.597,8288.482,0.001
2670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2675,4864.600,945.050,0.987,114.359,289.603,608.318,1127.459,7431.025,7861.777,8865.869,0.001
2680,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2685,6059.000,249.489,0.892,87.631,208.878,364.794,529.301,630.737,837.229,1477.796,0.004
2690,8288.000,245.849,0.686,79.530,200.067,365.413,527.732,631.078,848.115,1460.816,0.004
2695,8003.200,255.075,0.769,78.340,195.900,384.819,562.462,674.402,916.725,1543.777,0.004
2700,7169.600,289.349,0.601,106.150,231.971,430.838,607.661,721.639,954.713,1740.570,0.003
2705,6971.000,295.574,0.603,101.891,238.842,442.950,627.189,741.596,976.950,1929.923,0.003
2710,6438.800,316.744,0.898,97.382,250.655,482.553,684.582,810.915,1086.429,1785.227,0.003
2715,6310.000,326.020,1.256,116.098,267.853,490.416,671.491,790.849,1065.951,2105.945,0.003
2720,5823.600,353.217,1.048,108.459,272.312,533.356,775.973,929.225,1219.621,2031.620,0.003
2725,5721.000,359.401,0.713,113.744,280.656,541.073,781.516,941.521,1266.073,1982.468,0.003
2730,5433.000,377.060,1.155,107.521,282.934,582.811,838.781,996.991,1334.189,2313.227,0.003
2735,6936.600,291.578,0.976,90.066,222.385,437.209,647.372,781.380,1053.391,2263.646,0.003
2740,7207.200,281.658,1.304,95.756,222.884,420.284,605.304,719.924,943.727,1675.478,0.004
2745,7041.000,293.689,1.111,100.423,236.279,439.238,623.667,738.341,967.457,1708.918,0.003
2750,2745.200,975.597,1.328,107.388,280.250,603.861,4749.103,4975.445,5274.398,5920.251,0.001
2755,4256.400,330.145,0.909,128.310,273.140,493.579,676.639,783.107,1007.778,1895.913,0.003
2760,6496.800,318.257,0.812,98.549,247.187,479.115,704.150,846.794,1111.042,1871.770,0.003
2765,5947.800,347.588,1.027,117.746,283.893,523.805,724.358,859.367,1184.958,1977.786,0.003
2770,3496.800,1131.951,0.912,114.796,296.862,616.079,6933.124,7230.806,7705.392,8510.490,0.001
2775,249.600,343.347,12.892,115.471,350.358,510.745,640.409,734.070,943.162,1352.914,0.003
2780,8223.400,242.694,0.608,80.255,194.485,362.668,519.761,623.792,838.833,1484.296,0.004
2785,8207.200,252.980,0.684,84.859,209.064,374.864,536.593,638.773,844.788,1526.459,0.004
2790,7443.200,272.028,0.916,91.893,217.434,410.221,579.765,686.846,899.171,1683.488,0.004
2795,6858.800,299.801,0.680,96.125,236.299,453.849,649.428,773.046,1014.244,1700.868,0.003
2800,6576.800,313.527,0.980,108.321,250.690,469.071,664.758,792.559,1050.204,2051.552,0.003
2805,2726.200,838.051,0.651,87.321,258.408,586.843,3893.464,4184.254,4420.728,5191.562,0.001
2810,4974.000,362.872,1.362,128.815,296.859,543.249,753.834,895.911,1183.777,2272.810,0.003
2815,3516.600,1158.137,0.839,129.434,301.059,573.681,7248.424,7649.337,7946.724,8833.356,0.001
2820,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2825,8038.000,256.598,0.869,81.548,205.671,377.360,556.612,676.867,905.949,1662.102,0.004
2830,8255.600,246.020,0.705,85.269,198.878,366.813,522.052,622.410,823.327,1649.806,0.004
2835,7578.400,268.696,1.023,82.017,208.186,405.153,594.095,711.597,947.116,1757.745,0.004
2840,7314.400,284.043,0.836,88.860,226.966,423.212,619.912,739.933,986.734,1829.492,0.004
2845,6680.000,307.964,0.727,99.212,246.872,464.333,663.677,786.053,1031.499,1764.276,0.003
2850,6732.200,308.647,0.879,103.659,250.052,459.425,654.985,789.547,1066.136,1933.971,0.003
2855,5064.400,733.773,1.472,121.057,299.643,591.656,1004.887,5108.342,5568.021,6664.101,0.001
2860,1089.800,308.088,0.910,121.384,260.630,439.258,626.947,763.760,986.561,1484.186,0.003
2865,8301.600,244.578,1.040,84.973,197.320,362.324,522.053,622.398,823.603,1322.386,0.004
2870,8251.400,248.181,0.844,80.292,202.381,369.787,534.337,639.578,845.713,1414.694,0.004
2875,7529.200,274.565,0.984,91.197,220.724,410.221,589.086,698.916,925.734,1600.893,0.004
2880,7066.800,290.567,0.735,103.714,236.577,433.446,607.202,714.861,963.243,1711.996,0.003
2885,6413.000,318.536,1.233,103.925,258.371,480.046,678.050,803.720,1067.818,1941.055,0.003
2890,5558.800,482.601,1.009,103.122,255.447,504.794,849.713,2716.914,3194.475,4106.448,0.002
2895,3875.000,362.883,0.935,126.543,291.939,548.361,763.223,900.167,1168.007,10228.539,0.003
2900,1646.600,2511.223,1.528,104.885,317.776,1164.126,9282.962,9481.456,9839.810,10443.054,0.000
2905,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2910,7966.000,250.468,0.919,88.567,206.097,368.673,527.317,632.447,826.925,1690.155,0.004
2915,7933.600,259.370,0.716,88.162,209.307,385.495,553.700,663.227,879.058,1628.977,0.004
2920,7602.600,267.008,0.670,78.033,202.004,403.653,597.673,722.711,960.013,1804.716,0.004
2925,7381.600,278.761,0.955,98.712,228.665,415.581,581.982,692.304,919.949,1691.222,0.004
2930,6432.200,319.719,0.828,103.458,253.596,483.377,687.338,815.399,1099.410,2120.803,0.003
2935,6498.600,310.853,1.262,97.839,250.012,469.137,669.056,794.811,1051.559,1891.475,0.003
2940,6053.000,343.922,1.019,121.016,278.875,511.878,722.989,859.900,1145.831,2279.581,0.003
2945,5655.400,401.913,1.240,113.252,285.294,545.455,788.080,948.476,1349.977,11702.041,0.002
2950,918.400,4344.607,1.028,92.271,369.129,10010.704,10257.148,10358.757,10545.359,11172.791,0.000
2955,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
2960,7287.400,263.196,0.922,97.222,218.296,386.905,548.246,655.753,867.657,1485.928,0.004
2965,8047.800,251.430,0.788,78.020,200.975,379.350,543.891,652.369,869.301,1552.653,0.004
2970,7405.000,275.687,0.942,94.651,224.399,411.829,585.028,693.792,906.786,1623.419,0.004
2975,7075.000,293.576,1.169,98.556,236.473,438.111,623.467,745.688,996.501,1930.271,0.003
2980,6645.000,305.307,1.127,93.104,237.879,465.877,663.824,798.445,1057.803,1972.655,0.003
2985,6474.400,326.658,0.771,111.172,267.510,484.202,694.547,817.505,1082.345,1915.111,0.003
